time,status,count
08h 36,refunded,1
08h 36,approved,178
08h 36,reversed,3
08h 37,refunded,1
08h 37,denied,20
08h 37,approved,185
08h 38,approved,195
08h 38,denied,18
08h 38,refunded,1
08h 39,denied,24
08h 39,reversed,1
08h 39,approved,213
08h 40,denied,24
08h 40,approved,209
08h 41,approved,215
08h 41,denied,29
08h 41,reversed,3
08h 42,refunded,2
08h 42,denied,18
08h 42,approved,210
08h 42,reversed,1
08h 43,approved,219
08h 43,denied,18
08h 44,approved,213
08h 44,denied,30
08h 44,reversed,1
08h 45,approved,219
08h 45,reversed,1
08h 45,denied,28
08h 46,denied,27
08h 46,reversed,1
08h 46,approved,212
08h 46,backend_reversed,1
08h 47,refunded,1
08h 47,backend_reversed,2
08h 47,approved,228
08h 47,denied,19
08h 48,approved,222
08h 48,denied,24
08h 48,reversed,1
08h 48,backend_reversed,3
08h 49,backend_reversed,1
08h 49,approved,235
08h 49,denied,26
08h 50,denied,34
08h 50,reversed,1
08h 50,approved,250
08h 51,approved,251
08h 51,denied,19
08h 51,reversed,2
08h 52,failed,1
08h 52,denied,26
08h 52,approved,230
08h 53,reversed,1
08h 53,failed,1
08h 53,approved,250
08h 53,refunded,1
08h 53,denied,22
08h 54,denied,23
08h 54,reversed,1
08h 54,approved,225
08h 55,approved,227
08h 55,refunded,1
08h 55,denied,26
08h 56,approved,255
08h 56,denied,24
08h 57,denied,30
08h 57,reversed,2
08h 57,approved,218
08h 58,denied,22
08h 58,reversed,1
08h 58,approved,247
08h 59,approved,231
08h 59,refunded,2
08h 59,denied,27
08h 59,reversed,1
09h 00,approved,245
09h 00,backend_reversed,2
09h 00,denied,34
09h 01,reversed,4
09h 01,approved,232
09h 01,denied,34
09h 02,approved,231
09h 02,denied,25
09h 02,reversed,1
09h 03,approved,260
09h 03,reversed,3
09h 03,denied,24
09h 04,denied,19
09h 04,backend_reversed,2
09h 04,approved,255
09h 04,reversed,1
09h 05,denied,21
09h 05,backend_reversed,1
09h 05,approved,228
09h 05,reversed,2
09h 06,denied,20
09h 06,reversed,1
09h 06,approved,258
09h 07,reversed,1
09h 07,denied,28
09h 07,backend_reversed,1
09h 07,approved,279
09h 08,backend_reversed,3
09h 08,approved,287
09h 08,denied,26
09h 09,denied,36
09h 09,reversed,3
09h 09,approved,295
09h 09,backend_reversed,1
09h 10,approved,251
09h 10,denied,30
09h 10,backend_reversed,1
09h 10,reversed,1
09h 11,denied,26
09h 11,approved,266
09h 11,refunded,1
09h 11,reversed,4
09h 12,backend_reversed,2
09h 12,denied,27
09h 12,reversed,1
09h 12,approved,279
09h 12,refunded,1
09h 13,denied,35
09h 13,reversed,1
09h 13,approved,291
09h 13,backend_reversed,3
09h 14,approved,297
09h 14,denied,25
09h 14,backend_reversed,1
09h 14,reversed,3
09h 15,denied,31
09h 15,approved,276
09h 16,approved,270
09h 16,denied,24
09h 16,backend_reversed,2
09h 16,reversed,1
09h 16,refunded,1
09h 17,approved,282
09h 17,refunded,1
09h 17,denied,39
09h 17,reversed,3
09h 18,approved,295
09h 18,reversed,1
09h 18,denied,28
09h 18,refunded,1
09h 19,approved,289
09h 19,reversed,1
09h 19,denied,32
09h 20,backend_reversed,1
09h 20,approved,301
09h 20,reversed,2
09h 20,denied,30
09h 21,denied,26
09h 21,approved,313
09h 21,reversed,3
09h 21,refunded,1
09h 22,backend_reversed,1
09h 22,approved,319
09h 22,reversed,1
09h 22,denied,41
09h 23,reversed,2
09h 23,approved,307
09h 23,refunded,1
09h 23,denied,31
09h 24,denied,22
09h 24,approved,323
09h 24,reversed,1
09h 25,backend_reversed,1
09h 25,approved,333
09h 25,denied,29
09h 26,refunded,1
09h 26,approved,324
09h 26,denied,39
09h 26,reversed,3
09h 27,approved,332
09h 27,backend_reversed,1
09h 27,refunded,1
09h 27,reversed,3
09h 27,denied,39
09h 28,approved,339
09h 28,refunded,2
09h 28,reversed,4
09h 28,denied,38
09h 28,backend_reversed,1
09h 29,approved,288
09h 29,denied,36
09h 29,backend_reversed,4
09h 29,reversed,1
09h 30,approved,323
09h 30,reversed,4
09h 30,denied,34
09h 31,reversed,4
09h 31,denied,36
09h 31,backend_reversed,1
09h 31,approved,312
09h 32,reversed,2
09h 32,denied,26
09h 32,refunded,1
09h 32,approved,295
09h 33,denied,29
09h 33,reversed,1
09h 33,approved,315
09h 34,approved,333
09h 34,denied,39
09h 34,reversed,1
09h 35,reversed,5
09h 35,approved,322
09h 35,refunded,1
09h 35,denied,30
09h 36,reversed,4
09h 36,approved,304
09h 36,denied,34
09h 36,refunded,3
09h 37,denied,36
09h 37,reversed,2
09h 37,approved,310
09h 37,refunded,1
09h 38,approved,312
09h 38,reversed,5
09h 38,denied,32
09h 39,approved,312
09h 39,refunded,1
09h 39,denied,31
09h 39,backend_reversed,1
09h 40,approved,340
09h 40,denied,28
09h 40,reversed,4
09h 40,backend_reversed,2
09h 40,refunded,4
09h 41,refunded,1
09h 41,approved,307
09h 41,denied,32
09h 41,reversed,2
09h 42,approved,316
09h 42,denied,38
09h 42,refunded,1
09h 42,reversed,4
